写真区分,写真種別,工種,種別,細別,備考,検索パターン
"直接工事費","施工状況写真","排水構造物工","作業土工","床掘り","掘削状況",""
"直接工事費","施工状況写真","排水構造物工","作業土工","床掘り","掘削完了",""
"直接工事費","施工状況写真","排水構造物工","作業土工","埋戻し","土砂埋戻し 転圧状況",""
"直接工事費","施工状況写真","排水構造物工","作業土工","埋戻し","敷均し、転圧状況",""
"直接工事費","施工状況写真","排水構造物工","作業土工","埋戻し","下層路盤 材料搬入状況 RC-40",""
"直接工事費","施工状況写真","排水構造物工","作業土工","埋戻し","下層路盤 転圧状況",""
"直接工事費","施工状況写真","排水構造物工","作業土工","埋戻し","上層路盤 敷均し状況",""
"直接工事費","施工状況写真","排水構造物工","作業土工","埋戻し","上層路盤M-40 転圧状況",""
"直接工事費","施工状況写真","排水構造物工","作業土工","埋戻し","完了",""
"直接工事費","施工状況写真","排水構造物工","作業土工","基礎砕石工","RC-40 搬入状況",""
"直接工事費","施工状況写真","排水構造物工","作業土工","基礎砕石工","基礎砕石敷均し状況",""
"直接工事費","施工状況写真","排水構造物工","作業土工","基礎砕石工","基礎砕石転圧状況",""
"直接工事費","施工状況写真","排水構造物工","作業土工","基礎砕石工","完了",""
"直接工事費","施工状況写真","排水構造物工","作業土工","基礎コンクリート工","型枠設置完了",""
"直接工事費","施工状況写真","排水構造物工","作業土工","基礎コンクリート工","打設前",""
"直接工事費","施工状況写真","排水構造物工","作業土工","基礎コンクリート工","打設完了",""
"直接工事費","施工状況写真","排水構造物工","作業土工","基礎コンクリート工","打設状況",""
"直接工事費","施工状況写真","排水構造物工","作業土工","基礎コンクリート工","打設厚さ確認",""
"直接工事費","施工状況写真","排水構造物工","作業土工","基礎コンクリート工","打設幅確認",""
"直接工事費","施工状況写真","排水構造物工","集水桝工","集水枡底版","集水桝底版 打設前確認",""
"直接工事費","施工状況写真","排水構造物工","集水桝工","集水枡底版","底版コンクリート 打設前確認",""
"直接工事費","施工状況写真","排水構造物工","集水桝工","集水枡底版","底版コンクリート 打設完了",""
"直接工事費","施工状況写真","排水構造物工","集水桝工","プレキャスト集水桝","据付状況",""
"直接工事費","施工状況写真","排水構造物工","集水桝工","プレキャスト集水桝","完了",""
"直接工事費","施工状況写真","排水構造物工","側溝工","側溝蓋","側溝蓋 打設前確認",""
"直接工事費","施工状況写真","排水構造物工","側溝工","側溝蓋","側溝蓋 打設完了",""
"直接工事費","施工状況写真","排水構造物工","側溝工","側溝蓋","天端コンクリート 打設前確認",""
"直接工事費","施工状況写真","排水構造物工","側溝工","側溝蓋","天端コンクリート 打設完了",""
"直接工事費","施工状況写真","排水構造物工","側溝工","側溝蓋","天端コンクリート 打設状況",""
"直接工事費","施工状況写真","排水構造物工","側溝工","プレキャストU型側溝","側溝300　据付状況",""
"直接工事費","施工状況写真","排水構造物工","側溝工","プレキャストU型側溝","G付側溝300　据付状況",""
"直接工事費","施工状況写真","排水構造物工","側溝工","プレキャストU型側溝","敷モルタル敷均し状況",""
"直接工事費","施工状況写真","排水構造物工","側溝工","プレキャストU型側溝","据付状況",""
"直接工事費","施工状況写真","排水構造物工","側溝工","プレキャストU型側溝","完了",""
"直接工事費","施工状況写真","排水構造物工","集水桝・マンホール工","人孔蓋撤去","鉄蓋処分状況",""
"直接工事費","施工状況写真","排水構造物工","集水桝・マンホール工","人孔蓋撤去","既設人孔撤去状況",""
"直接工事費","施工状況写真","排水構造物工","集水桝・マンホール工","人孔蓋撤去","完了",""
"直接工事費","施工状況写真","排水構造物工","集水桝・マンホール工","人孔蓋据付","調整ブロック設置状況",""
"直接工事費","施工状況写真","排水構造物工","集水桝・マンホール工","人孔蓋据付","据付状況",""
"直接工事費","施工状況写真","排水構造物工","集水桝・マンホール工","人孔蓋据付","高さ調整完了",""
"直接工事費","施工状況写真","排水構造物工","集水桝・マンホール工","人孔内部清掃","清掃状況",""
"直接工事費","施工状況写真","排水構造物工","集水桝・マンホール工","人孔内部清掃","清掃完了",""
"直接工事費","施工状況写真","排水構造物工","集水桝・マンホール工","調整蓋据付","据付状況",""
"直接工事費","施工状況写真","排水構造物工","集水桝・マンホール工","調整蓋据付","完了",""
"直接工事費","施工状況写真","排水構造物工","集水桝・マンホール工","調整リングブロック設置","設置状況",""
"直接工事費","施工状況写真","排水構造物工","集水桝・マンホール工","調整リングブロック設置","完了",""
"直接工事費","施工状況写真","排水構造物工","集水桝・マンホール工","転落防止蓋設置","設置状況",""
"直接工事費","施工状況写真","排水構造物工","集水桝・マンホール工","転落防止蓋設置","完了",""
"直接工事費","出来形管理写真","排水構造物工","作業土工","床掘り","掘削工出来形測定",""
"直接工事費","出来形管理写真","排水構造物工","作業土工","埋戻し","土砂埋戻し出来形測定",""
"直接工事費","出来形管理写真","排水構造物工","作業土工","埋戻し","下層路盤出来形測定",""
"直接工事費","出来形管理写真","排水構造物工","作業土工","埋戻し","上層路盤出来形測定",""
"直接工事費","出来形管理写真","排水構造物工","作業土工","埋戻し","路床出来形測定",""
"直接工事費","出来形管理写真","排水構造物工","作業土工","基礎砕石工","基礎砕石工出来形測定",""
"直接工事費","出来形管理写真","排水構造物工","作業土工","基礎コンクリート工","基礎コンクリート出来形測定",""
"直接工事費","出来形管理写真","排水構造物工","集水桝工","集水枡底版","集水桝底版出来形測定",""
"直接工事費","出来形管理写真","排水構造物工","集水桝工","プレキャスト集水桝","プレキャスト集水桝出来形測定",""
"直接工事費","出来形管理写真","排水構造物工","側溝工","側溝蓋","側溝蓋出来形測定",""
"直接工事費","出来形管理写真","排水構造物工","側溝工","プレキャストU型側溝","プレキャストU型側溝出来形測定",""
