写真区分,写真種別,工種,種別,細別,備考,検索パターン
"直接工事費","施工状況写真","人孔改良工","集水桝・マンホール工","人孔蓋撤去","鉄蓋処分状況",""
"直接工事費","施工状況写真","人孔改良工","集水桝・マンホール工","人孔蓋撤去","既設人孔撤去状況",""
"直接工事費","施工状況写真","人孔改良工","集水桝・マンホール工","人孔蓋撤去","完了",""
"直接工事費","施工状況写真","人孔改良工","集水桝・マンホール工","人孔蓋据付","調整ブロック設置状況",""
"直接工事費","施工状況写真","人孔改良工","集水桝・マンホール工","人孔蓋据付","据付状況",""
"直接工事費","施工状況写真","人孔改良工","集水桝・マンホール工","人孔蓋据付","高さ調整完了",""
"直接工事費","施工状況写真","人孔改良工","集水桝・マンホール工","人孔内部清掃","清掃状況",""
"直接工事費","施工状況写真","人孔改良工","集水桝・マンホール工","人孔内部清掃","清掃完了",""
"直接工事費","施工状況写真","人孔改良工","集水桝・マンホール工","調整ブロック設置","調整ブロック設置状況",""
"直接工事費","施工状況写真","人孔改良工","集水桝・マンホール工","調整ブロック設置","完了",""
"直接工事費","施工状況写真","人孔改良工","集水桝・マンホール工","調整部撤去","調整部撤去状況",""
"直接工事費","施工状況写真","人孔改良工","集水桝・マンホール工","調整部撤去","完了",""
"直接工事費","施工状況写真","人孔改良工","集水桝・マンホール工","無収縮モルタル充填","無収縮モルタル充填状況",""
"直接工事費","施工状況写真","人孔改良工","集水桝・マンホール工","無収縮モルタル充填","完了",""
"直接工事費","施工状況写真","人孔改良工","舗装打換え工","舗装板切断","舗装板切断状況",""
"直接工事費","施工状況写真","人孔改良工","舗装打換え工","舗装板切断","完了",""
"直接工事費","施工状況写真","人孔改良工","舗装打換え工","舗装板破砕","舗装板破砕状況",""
"直接工事費","施工状況写真","人孔改良工","舗装打換え工","舗装板破砕","完了",""
"直接工事費","施工状況写真","人孔改良工","舗装打換え工","既設舗装版撤去","既設舗装版撤去状況",""
"直接工事費","施工状況写真","人孔改良工","舗装打換え工","既設舗装版撤去","完了",""
"直接工事費","施工状況写真","人孔改良工","舗装打換え工","上層路盤","上層路盤施工状況",""
"直接工事費","施工状況写真","人孔改良工","舗装打換え工","上層路盤","完了",""
"直接工事費","施工状況写真","人孔改良工","舗装打換え工","表層（プライムコート）","プライムコート施工状況",""
"直接工事費","施工状況写真","人孔改良工","舗装打換え工","表層（プライムコート）","完了",""
"直接工事費","施工状況写真","人孔改良工","舗装打換え工","表層（温度管理）","温度管理状況",""
"直接工事費","施工状況写真","人孔改良工","舗装打換え工","表層（舗設）","舗設状況",""
"直接工事費","施工状況写真","人孔改良工","舗装打換え工","表層（舗設）","施工完了",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","既設人孔蓋撤去","既設人孔撤去状況",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","既設人孔蓋撤去","撤去完了",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","既設受枠撤去","既設受枠撤去状況",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","既設受枠撤去","撤去完了",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","鉄蓋処分","鉄蓋処分状況",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","鉄蓋処分","処分完了",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","人孔蓋転落防止設置","人孔蓋転落防止設置状況",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","人孔蓋転落防止設置","設置完了",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","調整ブロック設置","調整ブロック設置状況",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","調整ブロック設置","設置完了",""
"直接工事費","施工状況写真","人孔改良工","人孔蓋据付撤去工","調整金具取付","調整金具パッキン取付状況",""
