費目,写真区分,工種,種別,細別,備考,検索パターン
"直接工事費","着手前及び完成写真","舗装工","舗装打換え工","表層工","","着手前|完了|竣工"
"直接工事費","着手前及び完成写真","舗装工","未舗装部舗装工","表層工","","着手前|完了|竣工"
"直接工事費","着手前及び完成写真","舗装工","瀝青安定処理路盤工","表層工","","着手前|完了|竣工"
"直接工事費","施工状況写真","舗装工","舗装打換え工","舗装版切断","As舗装版切断状況",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","舗装版切断","既設舗装版切断状況",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","舗装版切断","完了",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","舗装版切断","切断・清掃状況","切断.*清掃|清掃状況"
"直接工事費","施工状況写真","舗装工","舗装打換え工","舗装版切断","切断排水処分状況","汚泥処分|排水処分"
"直接工事費","施工状況写真","舗装工","舗装打換え工","舗装版破砕","剥取状況",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","舗装版破砕","積込状況",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","舗装版破砕","既設舗装厚さ確認",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","舗装版破砕","完了",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","上層路盤工","補足材搬入状況 M-40",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","上層路盤工","補足材搬入状況 RC-40",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","上層路盤工","補足材搬入状況 RM-40",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","上層路盤工","不陸整正状況",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","上層路盤工","転圧状況",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","上層路盤工","上層路盤完了",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","表層工","プライムコート乳剤散布状況",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","表層工","プライムコート養生砂散布状況",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","表層工","プライムコート養生砂清掃状況",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","表層工","端部乳剤塗布状況",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","表層工","舗設状況",""
"直接工事費","施工状況写真","舗装工","舗装打換え工","表層工","初期転圧状況",""
